Username,Comment Content,Reactions,Time Stamp,Post Url
Susan Lee-Hunt,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Absolutely one of my most memorable holidays. APT so good to travel with!
 </div>
</div>
",,2 d,https://facebook.com/APTouring/posts/308125654908903
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Thankyou so much Susan!
 </div>
</div>
",,1 d,https://facebook.com/APTouring/posts/308125654908903
Jude Groeneveld,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Did this a few years back and has to have been one of our best ever trips. Can highly recommend if anyone is contemplating this tour
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""🍁"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t8/1/16/1f341.png"" width=""16""/>
  </span>
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""🍁"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t8/1/16/1f341.png"" width=""16""/>
  </span>
 </div>
</div>
",,3 d,https://facebook.com/APTouring/posts/308125654908903
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Thanks Jude!
 </div>
</div>
",,1 d,https://facebook.com/APTouring/posts/308125654908903
Dana Murray,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Oh so excited we head out on 22 Aug only 25 sleeps to go
 </div>
</div>
",,3 d,https://facebook.com/APTouring/posts/308125654908903
Ruth Tate,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Absolutely loved our Canadian APT. Looking forward to Kimberley APT in September.
 </div>
</div>
",,3 d,https://facebook.com/APTouring/posts/308125654908903
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  So exciting Ruth! We can't wait to welcome you in The Kimberley
 </div>
</div>
",,1 d,https://facebook.com/APTouring/posts/308125654908903
Gwen Lowe,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Love  them
 </div>
</div>
",,3 d,https://facebook.com/APTouring/posts/308125654908903
Michelle Woodhouse,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Does APT have roll call pages for the upcoming tours to meet people that will be on our specific tour
 </div>
</div>
",,2 d,https://facebook.com/APTouring/posts/308125654908903
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Hi Michelle,
 </div>
 <div dir=""auto"" style=""text-align: start;"">
  We don't disclose other passengers before departure, there are however an abundance of Facebook groups that you can join started by past passengers where you can meet some people.
 </div>
</div>
",,1 d,https://facebook.com/APTouring/posts/308125654908903
Michelle Woodhouse,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  <a class=""x1i10hfl xjbqb8w x6umtig x1b1mbwd xaqea5y xav7gou x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz xt0b8zv xzsf02u x1s688f"" href=""https://www.facebook.com/APTouring?__cft__[0]=AZUlMxqx-ML5rbD7U7jxFS_xRxo1u7vF4ekSgMGRzQwY-_yNrFMUXiYWTQzGib0YrHcp9XVqFwIPP8XehDOOMXRJRyWHfdLOZmTsFqzCsfCGT7kjXR7eV_ELwGggRSgil-tfIGNEztvFhvPTyTZBlBGv&amp;__tn__=R]-R"" role=""link"" tabindex=""0"">
   <span class=""xt0psk2"">
    <span>
     APT
    </span>
   </span>
  </a>
  thank you so much for the reply
 </div>
</div>
",,1 d,https://facebook.com/APTouring/posts/308125654908903
Jenny Mccarthy,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Enjoyed this trip way back in 2012
 </div>
</div>
",,3 d,https://facebook.com/APTouring/posts/308125654908903
Sue Pollard,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  <a class=""x1i10hfl xjbqb8w x6umtig x1b1mbwd xaqea5y xav7gou x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz xt0b8zv xzsf02u x1s688f"" href=""https://www.facebook.com/lynn.griffiths1?__cft__[0]=AZUlMxqx-ML5rbD7U7jxFS_xRxo1u7vF4ekSgMGRzQwY-_yNrFMUXiYWTQzGib0YrHcp9XVqFwIPP8XehDOOMXRJRyWHfdLOZmTsFqzCsfCGT7kjXR7eV_ELwGggRSgil-tfIGNEztvFhvPTyTZBlBGv&amp;__tn__=R]-R"" role=""link"" tabindex=""0"">
   <span class=""xt0psk2"">
    <span>
     Lynn Hingley
    </span>
   </span>
  </a>
  - is this the next one?
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""🤣"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t52/1/16/1f923.png"" width=""16""/>
  </span>
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""🤣"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t52/1/16/1f923.png"" width=""16""/>
  </span>
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""🤣"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t52/1/16/1f923.png"" width=""16""/>
  </span>
 </div>
</div>
",,3 d,https://facebook.com/APTouring/posts/308125654908903
Dieter Maier,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Winter is nice enough where I live, summer fine for me either at my home in Cairns FNQ - though I wouldn't mind the Douro River if I had the money - though I'd prefer the Amazon in a luxury ship as have. Been to the Amazon in my younger years basics in
  <a tabindex=""-1"">
  </a>
  a standard river boat.
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/306252225096246
Glenn Olden,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  We saw that eith Travel Marvel in 2019. Was spectacular.,great trip.
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/305739308480871
Norma Reeves,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Bucket list
 </div>
</div>
",,5 d,https://facebook.com/APTouring/posts/305739308480871
Kaye Goudie,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Beautiful
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""🤩"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t58/1/16/1f929.png"" width=""16""/>
  </span>
 </div>
</div>
",,6 d,https://facebook.com/APTouring/posts/305739308480871
Ben Rawlings,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  <a class=""x1i10hfl xjbqb8w x6umtig x1b1mbwd xaqea5y xav7gou x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz xt0b8zv xzsf02u x1s688f"" href=""https://www.facebook.com/leah.hood?__cft__[0]=AZUTdxFbRERcC6doYOOQLEtUfKIXzLUZMoHdvcNvmW8CjqC2qdjslN_cmRa464VeuF8SX1yR31B9uWP1gdd9Yu7UeF8aQXp2yyyT5Ec7io1gWCNivRHInep0h_R3s_WqKRhPKaau_mmPRMw1Alva-XGO&amp;__tn__=R]-R"" role=""link"" tabindex=""0"">
   <span class=""xt0psk2"">
    <span>
     Leah Hood
    </span>
   </span>
  </a>
  See if this is on if you're passing through.
 </div>
</div>
",,6 d,https://facebook.com/APTouring/posts/305739308480871
Simon Conolly,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  The Flinders are a stunning part of the world. Easily accessible from Adelaide, via wine regions too!!
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""😍"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t2/1/16/1f60d.png"" width=""16""/>
  </span>
  Hop aboard with APT, sit back and enjoy!
 </div>
</div>
",2,1 w,https://facebook.com/APTouring/posts/305286185192850
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Such a beautiful place to visit Simon!
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/305286185192850
Jenny Old,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  A beautiful little village. One of my favourites
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
Elica Pazek,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Been there a few years ago. Just beautiful. APT
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""👍"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tfc/1/16/1f44d.png"" width=""16""/>
  </span>
 </div>
</div>
",2,1 w,https://facebook.com/APTouring/posts/304774385244030
Malou Ladios,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Love Miltenberg ... APT great experience ... Paris to Prague trip with rivercruise Amsterdam to Budapest.
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Thankyou so much Malou, we're so glad to hear you enjoyed the tour!
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
Jan Jackson,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  We enjoyed our visit to Miltenberg! A little hidden gem
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""😍"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t2/1/16/1f60d.png"" width=""16""/>
  </span>
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Such a beautiful small town!
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
Lynda Gulbransen,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Oh I loved that quaint village
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""❣️"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/teb/1/16/2763.png"" width=""16""/>
  </span>
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  It's such a special place to visit!
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
Mark Elder,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Stunning place
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
Pam Wallace,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Beautiful loved it.
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
Dorothy Viskovic,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  APT the best
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304774385244030
Dorothy Viskovic,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Loved
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""🌹"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t71/1/16/1f339.png"" width=""16""/>
  </span>
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304342735287195
Janet Courtney,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  We have been there.  So lovely.
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304342735287195
APT,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Such a beautiful place to spend the afternoon Janet
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304342735287195
Janet Courtney,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  <a class=""x1i10hfl xjbqb8w x6umtig x1b1mbwd xaqea5y xav7gou x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz xt0b8zv xzsf02u x1s688f"" href=""https://www.facebook.com/APTouring?__cft__[0]=AZX_Yc7333k1olY5gc-aiRazOSWApk_teg1MswpuuUZdGKyvaoA2yfIbOphmGZTjn4GlXuH_aTwuHI9XVeEtSm3gfcz7inEy3WgMivk4mXNCsEjJajtRDQTrU6UB2wmmsHnZZ9MGZCmG6VqoCfmijFYC&amp;__tn__=R]-R"" role=""link"" tabindex=""0"">
   <span class=""xt0psk2"">
    <span>
     APT
    </span>
   </span>
  </a>
  Absolutely.
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/304342735287195
Pauline Nicolle,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Loved Prague in 2005 but it and the people had changed a lot in 2018. Life seemed to be very hard for the average person.
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/303810662007069
Daryl Bull,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Beautiful Prague, memories of 2015 with
  <a class=""x1i10hfl xjbqb8w x6umtig x1b1mbwd xaqea5y xav7gou x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz xt0b8zv xzsf02u x1s688f"" href=""https://www.facebook.com/APTouring?__cft__[0]=AZUFNAUIWNZxcS2g0qMAfiXi9eHEMSgRjMGcW9brkiaLoWpEjdNWEaYF7iQUVDcxzia14aFbNdi0zlRfQVAsAqE8aKHY80-h8oZHZKNtBr7SpO3etFS5Y6raIdLxuma-R6i7XXlanDWpobGdJPGPBxN2&amp;__tn__=R]-R"" role=""link"" tabindex=""0"">
   <span class=""xt0psk2"">
    <span>
     APT
    </span>
   </span>
  </a>
  .....
 </div>
</div>
",2,1 w,https://facebook.com/APTouring/posts/303810662007069
Janice Pauline Adam,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Great memories of Prague..the Castle the river trip the old town.. Charles bridge and so  much more
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""😊"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t7f/1/16/1f60a.png"" width=""16""/>
  </span>
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/303810662007069
Jirina Krendl,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Cz  Czech Republic  Prague  awesome  place!!
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/303810662007069
Robin Carson,"<div class=""xdj266r x11i5rnm xat24cr x1mh8g0r x1vvkbs"">
 <div dir=""auto"" style=""text-align: start;"">
  Loved our visits to Prague… fascinating city
  <span class=""x3nfvp2 x1j61x8r x1fcty0u xdj266r xhhsvwb xat24cr xgzva0m xxymvpz xlup9mm x1kky2od"">
   <img alt=""❤️"" height=""16"" referrerpolicy=""origin-when-cross-origin"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t6c/1/16/2764.png"" width=""16""/>
  </span>
 </div>
</div>
",,1 w,https://facebook.com/APTouring/posts/303810662007069
