Brand,FB Handle,Username,Post Caption,Post date time,Reactions,Comments,Shares,Post url,Views (blank for non video posts)
"0    APT
Name: brand, dtype: object","0    APTouring
Name: fb_handle, dtype: object",APT,"The perfect way to get to know a new destination is through its cuisine. On a visit to Japan, plenty of local delicacies spring to mind but at the top of your list should be mount-watering Okonmiyaki. ","0    30/07/2023 20:05
Name: post_date_time, dtype: object",3,No comments,No shares,https://facebook.com/APTouring/posts/309119444809524,
"1    APT
Name: brand, dtype: object","1    APTouring
Name: fb_handle, dtype: object",APT,Postcards from Canada!,"1    28/07/2023 19:50
Name: post_date_time, dtype: object",52,15 comments,No shares,https://facebook.com/APTouring/posts/308125654908903,
"2    APT
Name: brand, dtype: object","2    APTouring
Name: fb_handle, dtype: object",APT,"The enchanting world of ice and water awaits.  Each day experience the beauty and excitement of the great White Continent. Where jaw-dropping, once-in-a-lifetime moments are daily occurrences. ","2    26/07/2023 19:00
Name: post_date_time, dtype: object",22,No comments,2 shares,https://facebook.com/APTouring/posts/307155171672618,
"3    APT
Name: brand, dtype: object","3    APTouring
Name: fb_handle, dtype: object",APT,Why spend another winter in Australia when you could be cruising the Douro?,"3    24/07/2023 20:00
Name: post_date_time, dtype: object",19,1 comment,2 shares,https://facebook.com/APTouring/posts/306252225096246,
"4    APT
Name: brand, dtype: object","4    APTouring
Name: fb_handle, dtype: object",APT,A brand new Signature Experience in Montreal for 2024!,"4    23/07/2023 18:00
Name: post_date_time, dtype: object",544,5 comments,20 shares,https://facebook.com/APTouring/posts/305739308480871,
"5    APT
Name: brand, dtype: object","5    APTouring
Name: fb_handle, dtype: object",APT,The gateway to South Australia's Outback. ,"5    22/07/2023 18:50
Name: post_date_time, dtype: object",28,2 comments,2 shares,https://facebook.com/APTouring/posts/305286185192850,
"6    APT
Name: brand, dtype: object","6    APTouring
Name: fb_handle, dtype: object",APT,"Postcards from Miltenberg. Thank you for sharing, Deborah.","6    21/07/2023 18:00
Name: post_date_time, dtype: object",48,12 comments,2 shares,https://facebook.com/APTouring/posts/304774385244030,
"7    APT
Name: brand, dtype: object","7    APTouring
Name: fb_handle, dtype: object",APT,"Live the quintessential Italian life, delight in an afternoon of fresh antipasti, locally made olive oils and regional wines in the beautiful town of San Gimignano. ","7    20/07/2023 20:50
Name: post_date_time, dtype: object",35,4 comments,No shares,https://facebook.com/APTouring/posts/304342735287195,
"8    APT
Name: brand, dtype: object","8    APTouring
Name: fb_handle, dtype: object",APT,Equal in beauty and historical significance Prague's Old Town Square is the heart of this lively city. ,"8    19/07/2023 19:40
Name: post_date_time, dtype: object",1.4K,34 comments,25 shares,https://facebook.com/APTouring/posts/303810662007069,
"9    APT
Name: brand, dtype: object","9    APTouring
Name: fb_handle, dtype: object",APT,A sparkling jewel awaits below the island of Bisevo in Croatia.,"9    18/07/2023 18:45
Name: post_date_time, dtype: object",14,5 comments,No shares,https://facebook.com/APTouring/posts/303297612058374,
